
2024/12/22 (22:52:24) | ===> btop++ v.1.4.0
2024/12/22 (22:52:24) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/12/22 (22:52:24) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/12/23 (02:30:11) | ===> btop++ v.1.4.0
2024/12/23 (02:30:11) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/12/23 (02:30:11) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/01/22 (15:34:46) | ===> btop++ v.1.4.0
2025/01/22 (15:34:46) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/01/22 (15:34:46) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/01/22 (15:35:46) | ===> btop++ v.1.4.0
2025/01/22 (15:35:46) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/01/22 (15:35:46) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/02/01 (09:16:29) | ===> btop++ v.1.4.0
2025/02/01 (09:16:29) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/02/01 (09:16:29) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/02/24 (22:31:09) | ===> btop++ v.1.4.0
2025/02/24 (22:31:09) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/02/24 (22:31:09) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/02/25 (09:00:36) | ===> btop++ v.1.4.0
2025/02/25 (09:00:36) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/02/25 (09:00:36) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/03/26 (01:52:55) | ===> btop++ v.1.4.0
2025/03/26 (01:52:55) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/03/26 (01:52:55) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...
